y_class,QuantitySold,year,month,day,dayofweek,is_weekend,h_item,h_branch,h_invoice,h_item_branch,h_item_month
0,2,2025,4,26,5,1,1194,158,1463,4948,3811
0,2,2025,4,26,5,1,1874,158,1463,1126,3091
0,3,2025,4,26,5,1,1942,158,1463,2473,2472
2,20,2025,4,26,5,1,1174,113,3876,1600,1504
2,20,2025,4,26,5,1,285,113,3876,3928,2844
2,20,2025,4,26,5,1,1921,113,3876,1623,3268
1,4,2025,4,26,5,1,882,158,1463,1542,2128
2,70,2025,4,26,5,1,1411,27,1571,2258,4431
0,1,2025,4,26,5,1,20,158,3459,11,3224
0,2,2025,4,26,5,1,1286,27,2920,1463,4030
2,10,2025,4,26,5,1,1449,27,4222,2813,2403
1,4,2025,4,26,5,1,1649,27,4222,541,2634
0,2,2025,4,26,5,1,1352,27,4222,2436,2447
2,10,2025,4,26,5,1,1639,27,4222,62,3162
1,5,2025,4,26,5,1,1265,27,3588,4452,2888
1,5,2025,4,26,5,1,116,27,3588,3888,3701
1,5,2025,4,26,5,1,276,27,3588,1220,909
0,1,2025,4,26,5,1,1202,158,3459,1237,229
0,3,2025,4,26,5,1,1026,27,3588,1887,2185
0,2,2025,4,26,5,1,1048,158,1463,2016,1173
0,3,2025,4,26,5,1,1879,27,4197,2120,4876
0,1,2025,4,26,5,1,769,158,3747,2735,3891
1,5,2025,4,26,5,1,845,27,4197,3791,441
0,2,2025,4,26,5,1,567,27,466,910,3022
0,2,2025,4,26,5,1,1449,27,466,2813,2403
2,10,2025,4,26,5,1,354,27,2607,4106,4872
2,10,2025,4,26,5,1,867,27,2607,4562,2804
2,10,2025,4,26,5,1,407,27,2607,2240,4481
2,10,2025,4,26,5,1,1215,27,2607,1504,4308
0,3,2025,4,26,5,1,511,27,7,2518,2149
1,4,2025,4,26,5,1,1209,27,4480,1253,2168
1,4,2025,4,26,5,1,1924,27,4480,3364,1539
0,1,2025,4,26,5,1,1370,158,4104,1721,972
1,4,2025,4,26,5,1,285,27,4150,289,2844
0,3,2025,4,26,5,1,1789,27,4150,628,734
0,2,2025,4,26,5,1,1141,27,4150,2525,2280
1,4,2025,4,26,5,1,1289,27,3025,2561,2771
0,3,2025,4,26,5,1,376,27,3025,2861,2971
1,8,2025,4,26,5,1,1478,158,2967,1374,1389
0,3,2025,4,26,5,1,1152,27,3025,3213,3283
0,2,2025,4,26,5,1,1921,158,3747,86,3268
0,1,2025,4,26,5,1,1166,158,4675,2418,3281
0,1,2025,4,26,5,1,910,158,4104,3510,1927
2,30,2025,4,26,5,1,776,59,2861,2516,4298
2,10,2025,4,26,5,1,121,113,2454,2510,1102
2,12,2025,4,26,5,1,1311,113,2259,4591,3021
2,140,2025,4,26,5,1,1478,59,3624,4798,1389
2,10,2025,4,26,5,1,1984,113,2454,4491,845
2,10,2025,4,26,5,1,610,27,2448,137,4711
2,10,2025,4,26,5,1,1949,27,2448,2594,4654
2,140,2025,4,26,5,1,566,59,3624,2721,3702
2,360,2025,4,26,5,1,692,59,3624,3504,3277
2,60,2025,4,26,5,1,1245,59,3624,3120,1898
2,180,2025,4,26,5,1,1505,59,3624,3494,102
2,180,2025,4,26,5,1,925,59,3624,220,2164
2,240,2025,4,26,5,1,813,59,3624,1438,2859
0,3,2025,4,26,5,1,1271,27,4197,2668,2786
0,2,2025,4,26,5,1,1144,59,2861,2775,4868
2,40,2025,4,26,5,1,761,59,2861,4472,1331
2,40,2025,4,26,5,1,1856,59,2861,3815,4243
2,40,2025,4,26,5,1,1478,59,2861,4798,1389
2,120,2025,4,26,5,1,557,59,2861,4445,2563
2,120,2025,4,26,5,1,1505,59,2861,3494,102
1,4,2025,4,26,5,1,1845,59,2861,1863,3550
2,180,2025,4,26,5,1,740,158,3624,4683,1563
1,4,2025,4,27,6,1,530,27,2685,1384,4730
1,4,2025,4,27,6,1,816,27,2685,4440,360
2,125,2025,4,27,6,1,1456,27,2685,4080,4180
0,1,2025,4,27,6,1,343,27,2685,2736,814
1,4,2025,4,27,6,1,101,27,2685,2835,1406
1,5,2025,4,27,6,1,1588,27,2685,508,144
2,48,2025,4,27,6,1,1034,27,2685,3746,1456
2,20,2025,4,27,6,1,1889,27,2685,3758,3961
2,10,2025,4,27,6,1,1271,27,2685,2668,2786
2,10,2025,4,27,6,1,1879,27,2685,2120,4876
1,6,2025,4,27,6,1,1427,27,2685,2963,1810
2,10,2025,4,27,6,1,1950,27,2685,1038,2584
1,5,2025,4,27,6,1,569,27,2685,1250,79
0,1,2025,4,27,6,1,719,27,2685,2223,3358
1,4,2025,4,27,6,1,42,27,2685,4172,4609
2,10,2025,4,27,6,1,1174,27,4994,4353,1504
1,6,2025,4,27,6,1,1907,113,1924,3261,3205
1,4,2025,4,27,6,1,1411,27,2656,2258,4431
0,3,2025,4,27,6,1,1773,27,2656,4538,4238
1,5,2025,4,27,6,1,1789,27,4994,628,734
1,4,2025,4,27,6,1,1088,27,2685,2411,4800
0,1,2025,4,27,6,1,602,27,1952,2094,2006
1,5,2025,4,27,6,1,121,27,1952,2631,1102
2,125,2025,4,27,6,1,1456,27,1952,4080,4180
1,6,2025,4,27,6,1,1773,113,1924,3198,4238
1,8,2025,4,27,6,1,697,113,1924,4115,4768
1,5,2025,4,27,6,1,1101,113,1924,4969,2353
0,2,2025,4,27,6,1,779,27,2656,3785,1424
0,1,2025,4,27,6,1,1492,27,2656,4243,4153
0,2,2025,4,27,6,1,1948,27,2656,1941,4138
0,1,2025,4,27,6,1,1564,27,2656,4585,1424
0,1,2025,4,27,6,1,762,27,2656,1128,3803
1,4,2025,4,27,6,1,1725,27,2656,2135,2413
2,10,2025,4,27,6,1,1873,27,4994,3080,1908
0,1,2025,4,27,6,1,672,27,2656,4855,2520
1,4,2025,4,27,6,1,1174,27,3802,4353,1504
1,4,2025,4,27,6,1,87,27,4167,2471,3108
1,4,2025,4,27,6,1,1663,27,2656,2161,3580
0,1,2025,4,27,6,1,18,27,2656,1480,4802
1,5,2025,4,27,6,1,1704,27,3802,2251,2645
2,10,2025,4,27,6,1,1938,27,3802,3077,4267
1,5,2025,4,27,6,1,610,27,3802,558,4470
1,7,2025,4,27,6,1,1538,27,3802,634,304
0,1,2025,4,27,6,1,1658,27,2656,4350,2808
2,600,2025,4,27,6,1,813,59,4881,1438,2859
2,20,2025,4,27,6,1,557,27,3802,3699,1843
0,2,2025,4,27,6,1,1115,27,3802,4515,2954
2,10,2025,4,27,6,1,249,27,3802,3329,3028
0,1,2025,4,27,6,1,1344,27,1279,2897,1038
1,5,2025,4,27,6,1,577,27,4167,2318,4251
1,5,2025,4,27,6,1,1456,27,1279,4080,4180
0,3,2025,4,27,6,1,1948,27,3802,1941,4138
2,200,2025,4,27,6,1,566,59,4881,2721,3702
2,600,2025,4,27,6,1,740,59,4881,869,1563
2,200,2025,4,27,6,1,410,59,4881,1812,585
2,240,2025,4,27,6,1,1811,59,4881,3645,2681
2,150,2025,4,27,6,1,776,59,4881,2516,4298
2,60,2025,4,27,6,1,1972,59,4881,4474,3127
1,4,2025,4,27,6,1,1989,27,4167,1605,618
1,5,2025,4,27,6,1,863,27,4167,2787,4168
0,3,2025,4,27,6,1,1265,27,4167,4452,2888
0,2,2025,4,27,6,1,1177,27,4167,276,1206
0,2,2025,4,27,6,1,1764,27,4167,2537,3822
1,6,2025,4,27,6,1,1267,27,4167,4081,2907
0,3,2025,4,27,6,1,1424,27,4167,846,4727
1,4,2025,4,27,6,1,1030,27,4167,4002,1575
0,3,2025,4,27,6,1,276,27,4167,1220,909
2,10,2025,4,27,6,1,1405,27,4167,887,2996
0,3,2025,4,27,6,1,833,27,4167,2874,4388
1,5,2025,4,27,6,1,1504,27,4167,4836,1727
0,3,2025,4,27,6,1,1449,27,2656,2813,2403
0,2,2025,4,27,6,1,291,27,1855,4398,2943
1,5,2025,4,27,6,1,1725,27,4022,2135,2413
2,12,2025,4,27,6,1,566,165,1374,219,3702
2,10,2025,4,27,6,1,1733,158,3087,3037,4715
2,10,2025,4,27,6,1,1174,158,362,4565,1504
1,6,2025,4,27,6,1,693,113,3281,989,616
2,15,2025,4,27,6,1,1634,158,362,4266,3322
0,2,2025,4,27,6,1,1130,27,1243,2105,2435
2,13,2025,4,27,6,1,1211,27,1790,986,1060
2,30,2025,4,27,6,1,1084,27,3799,377,307
2,20,2025,4,27,6,1,982,27,1790,2315,1682
0,3,2025,4,27,6,1,789,27,4022,791,475
0,3,2025,4,27,6,1,447,27,4022,3706,3055
0,2,2025,4,27,6,1,1663,27,4022,2161,3580
2,10,2025,4,27,6,1,815,113,3928,648,1811
1,5,2025,4,27,6,1,538,113,3928,1424,2443
2,10,2025,4,27,6,1,1657,113,3928,3195,2341
1,6,2025,4,27,6,1,723,27,1790,1574,4279
2,15,2025,4,27,6,1,567,158,362,398,3022
1,5,2025,4,27,6,1,1776,158,3920,1639,2391
2,10,2025,4,27,6,1,1174,158,3920,4565,1504
1,7,2025,4,27,6,1,526,27,1855,3730,4436
2,24,2025,4,27,6,1,1034,27,3920,3746,1456
2,50,2025,4,27,6,1,1456,158,3920,3790,4180
2,240,2025,4,27,6,1,1787,27,3920,1228,3359
0,2,2025,4,27,6,1,4,27,3920,3886,2458
1,4,2025,4,27,6,1,944,27,3920,2291,477
1,5,2025,4,27,6,1,1776,27,3920,1330,2391
0,2,2025,4,27,6,1,1848,27,3920,4433,4543
1,8,2025,4,27,6,1,769,113,3281,1498,3891
1,5,2025,4,27,6,1,1938,113,3281,2340,4267
0,3,2025,4,27,6,1,372,113,3281,1281,3587
1,5,2025,4,27,6,1,1950,113,3281,616,2584
1,5,2025,4,27,6,1,696,113,3281,1615,3892
1,5,2025,4,27,6,1,1449,113,3281,2764,2403
1,4,2025,4,27,6,1,324,113,3281,4240,4722
1,4,2025,4,27,6,1,1741,158,3087,2541,1809
1,4,2025,4,27,6,1,1115,27,677,4515,2954
1,5,2025,4,27,6,1,285,113,3281,3928,2844
1,5,2025,4,27,6,1,249,113,3281,1222,3028
1,4,2025,4,27,6,1,566,165,1231,219,3702
2,12,2025,4,27,6,1,1261,165,4548,2864,4624
1,8,2025,4,27,6,1,1897,165,4548,4007,3308
1,6,2025,4,27,6,1,1834,165,2128,1820,2862
1,4,2025,4,27,6,1,1245,165,3363,973,1898
